280006D5 = fx_character.fxl | fx_character_rooting_attack
86000083 = fx_footsteps.fxl | fx_footsteps_Footsteps_Tile_Left
28000523 = fx_handcombat.fxl | fx_handcombat_Hit_HR_power
860001E7 = fx_live_events.fxl | event_2_1_bomb_countdown_countdown_09_sec
08000BB9 = fx_live_events.fxl | winter_snowsim_ss2_death
2800055F = fx_object.fxl | GameObjects_streetsign_flat
28000597 = fx_object.fxl | Traps_laserdoor_green1_on
280005C5 = fx_object.fxl | fx_object_Interface_fog2
280009C9 = fx_object.fxl | fx_object_Interface_neighborhood_names_zia
2800073A = fx_props.fxl | props_dt_largesigns_dt_largesign09
860000D6 = fx_props.fxl | props_sounds_dryer
4A0000D1 = fx_props.fxl | club_props_projected_patterns_orange_spinner3
22000028 = fx_sound_ambient.fxl | Weather_Rain Med 1
04000038 = fx_winter.fxl | partyhats_flying_confetti_3_red
280006AB = fx_character.fxl | fx_character_bleeding_loop
8600009C = fx_character.fxl | Emotes_blowkiss_kiss_female
280006FF = fx_character.fxl | combat_rev9_energized_power_loop
2800004A = fx_character.fxl | viruscast_split_aikido_simulacra_aikido_simulacra_start
280000BE = fx_character.fxl | viruscast_split_combat_aura_combataura2
2800011E = fx_character.fxl | viruscast_split_restore_rsi_restore_rsi_start
28000143 = fx_character.fxl | viruscast_split_recall_teammember_recall_teammember_start
280009E0 = fx_character.fxl | viruscast_split_crash_crash_start
12463168 = fx_character.fxl | combat_rev9_components_precise_speed_leftleg
28000776 = fx_cinematic.fxl | character_creation_trace_numbers2
5800010B = fx_dialog.fxl | Sati_GROUPED MESSAGES_Sati_Gives_Item
5800014B = fx_dialog.fxl | Niobe_Cell Phone_Niobe_SomeoneWillBeWaiting
5800015B = fx_dialog.fxl | Niobe_Seeking Assassin_Niobe_YouKilledAssassin
580001D4 = fx_dialog.fxl | Merovingian_Speaks to Old Member_Merovingian_YouHavePerformedMostAdmirably
5800024B = fx_dialog.fxl | Oracle_Offers Cookie_Oracle_WouldYouLikeACookieTheyreFresh
58000329 = fx_dialog.fxl | Niobe_Stops Following_Niobe_IllWaitRightHere
58000384 = fx_dialog.fxl | StoryItems_Architect
860001D2 = fx_live_events.fxl | event_2_1_bomb_countdown_countdown_01_min
860001D8 = fx_live_events.fxl | event_2_1_bomb_countdown_countdown_10_min
12463125 = fx_live_events_2.fxl | live_event_2_3_Fly_Infestation_fly_virus_head
2800056C = fx_object.fxl | GameObjects_motion_sensor
28000594 = fx_object.fxl | Traps_laserdoor_green2_on
2800068A = fx_object.fxl | Traps_detect_shock_component_dangerous
280000B0 = fx_object.fxl | fx_object_Interface_subway_selectable_station
B000001F = fx_object.fxl | fx_object_Interface_special_move_success
4A0000D2 = fx_props.fxl | club_props_projected_patterns_orange_spinner4
4A000114 = fx_props.fxl | club_props_spotlights_vertical_stationary_stationary_vertical_white
4A000123 = fx_props.fxl | garbage_bag_flies_one_1
04000039 = fx_winter.fxl | partyhats_flying_confetti_4_red
280005DB = fx_character.fxl | fx_character_stun_cast
280005F1 = fx_character.fxl | fx_character_redirect_virus_cast
28000093 = fx_character.fxl | viruscast_split_code_infection_code_infection1_start
2800094C = fx_character.fxl | viruscast_split_physician_physician
280009D2 = fx_character.fxl | viruscast_split_find_weakness_find_weakness_middle
580000CC = fx_dialog.fxl | Merovingian_Misc Lines_Merovingian_NotBad
580000FB = fx_dialog.fxl | Merovingian_Misc Lines_Merovingian_Shit
58000070 = fx_dialog.fxl | Merovingian_GROUPED MESSAGES_Merovingian_Takes_Item_From_Persephone
58000157 = fx_dialog.fxl | Niobe_Seeking Assassin_Niobe_IfYouSucceedItWillHelpMe
58000359 = fx_dialog.fxl | Niobe_Receives Message_Niobe_IveBeenWaitingForThisMessageThankYou
20000019 = fx_environmental.fxl | Sounds_Alarm_01
280006D7 = fx_environmental.fxl | fx_environmental_steam_xsmall
28000489 = fx_footsteps.fxl | fx_footsteps_Water_Right
86000130 = fx_footsteps.fxl | fx_footsteps_Ladder_metal_ladder_right_hand
124630C4 = fx_GoldenTickets.fxl | Glasses_Upgrade_activate_OLD_pulsing_rings1_Spawner
860001D7 = fx_live_events.fxl | event_2_1_bomb_countdown_countdown_20_min
860001D9 = fx_live_events.fxl | event_2_1_bomb_countdown_countdown_02_min
0400006F = fx_npc.fxl | oligarchs_spawns_castterminatebit
2800048B = fx_object.fxl | fx_object_turn_signals_taxi_turn_left
28000592 = fx_object.fxl | Traps_laserdoor_green3_on
8600010C = fx_object.fxl | fx_object_Usable_hack_computer
860000D4 = fx_props.fxl | props_sounds_computer_loop
A0000009 = fx_props.fxl | props_candles_short_candle_flame_1
4A0000D3 = fx_props.fxl | club_props_projected_patterns_orange_spinner5
280005E6 = fx_character.fxl | fx_character_multipartite_vision_disruption_cast
280006E1 = fx_character.fxl | fx_character_vital_points_loop
28000706 = fx_character.fxl | combat_rev9_components_energy_speed_lefthand
2800009A = fx_character.fxl | viruscast_split_code_infection_code_infection2_start
280000CB = fx_character.fxl | viruscast_split_combat_shutdown_combatshutdown_middle
2800015A = fx_character.fxl | viruscast_split_area_disruption_area_disruption1_middle
280001F2 = fx_character.fxl | viruscast_split_harmful_code_harmfulcode1_start
28000A22 = fx_character.fxl | viruscast_split_repair_rsi_repair_rsi1
28000A32 = fx_character.fxl | viruscast_split_restore_group_restore_group1
04000042 = fx_character2.fxl | tacticboost_children_lefthand
04000044 = fx_character2.fxl | tacticboost_hands
58000182 = fx_dialog.fxl | Persephone_Misc Lines_Persephone_MatrixIsPrisonForMe
580001A5 = fx_dialog.fxl | Merovingian_Takes Item_Merovingian_IHaveBeenWaitingForThis
580001E7 = fx_dialog.fxl | Merovingian_Tries Recruiting Player_Merovingian_MyOrganizationCanOfferYouExcellentBenefits
5800023D = fx_dialog.fxl | Oracle_Greets Ally_Oracle_ItsGoodToSeeYouAgain
86000142 = fx_environmental.fxl | Sounds_door_sliding_open
86000165 = fx_footsteps.fxl | fx_footsteps_Barefoot_Concrete_Right
124630C3 = fx_GoldenTickets.fxl | Glasses_Upgrade_activate_OLD_pulsing_rings1
124630CA = fx_GoldenTickets.fxl | Healing_gift_healing_plus
860001D6 = fx_live_events.fxl | event_2_1_bomb_countdown_countdown_30_min
860001DA = fx_live_events.fxl | event_2_1_bomb_countdown_countdown_03_min
08000BBD = fx_live_events.fxl | winter_snowsim_children_ss2_center
0400006D = fx_npc.fxl | oligarchs_spawns_castdeceleratorbit
280009A8 = fx_object.fxl | fx_object_Interface_neighborhood_names_hampton_green
860001CE = fx_object.fxl | fx_object_Usable_destroy_poster
4A0000D4 = fx_props.fxl | club_props_projected_patterns_orange_spinner6
4A000116 = fx_props.fxl | club_props_dry _ice
22000067 = fx_ui.fxl | Combat_Text_CombatText_Heal
2200006E = fx_ui.fxl | Combat_FX_CombatFX_Dazed
22000072 = fx_ui.fxl | Combat_Text_CombatText_IS_Gain
2800060F = fx_character.fxl | fx_character_firewall
28000721 = fx_character.fxl | combat_rev9_components_precise_throw_leftfoot
2800008D = fx_character.fxl | viruscast_split_area_disruption_area_disruption2_middle
2800009D = fx_character.fxl | viruscast_split_code_infection_code_infection3_start
280000B9 = fx_character.fxl | viruscast_split_code_stop_codestop1
28000139 = fx_character.fxl | viruscast_split_renew_rsi_renew_rsi_end
28000156 = fx_character.fxl | viruscast_split_potency_potency_middle
280001F7 = fx_character.fxl | viruscast_split_harmful_code_harmfulcode2_start
2800079F = fx_character.fxl | viruscast_split_freeze_area_freezearea1_middle
28000918 = fx_character.fxl | viruscast_split_intense_attack_intense_attack_righthand
28000A26 = fx_character.fxl | viruscast_split_repair_rsi_repair_rsi2
28000A36 = fx_character.fxl | viruscast_split_restore_group_restore_group2
040000A8 = fx_character.fxl | blueshift_loop
1246317C = fx_character2.fxl | _old_ref_stuff_code_shaper_1
58000034 = fx_dialog.fxl | Oracle_GROUPED MESSAGES_Oracle_Asks_Player_To_Stop
5800003F = fx_dialog.fxl | Oracle_Misc Lines_Oracle_SoundsLikeYouDontBelieveIt
580000CA = fx_dialog.fxl | Merovingian_Misc Lines_Merovingian_Salaud
58000151 = fx_dialog.fxl | Niobe_Cell Phone_Niobe_HurryWeDontHaveMuchTime
5800018A = fx_dialog.fxl | Persephone_Misc Lines_Persephone_MachinesHaveNoInfluenceHere
08000BCB = fx_dialog.fxl | Misc_Copy of First_Time_Welcome
860000B8 = fx_environmental.fxl | Sounds_wallsafe_panel_open
8600014E = fx_environmental.fxl | Sounds_door_bookcase_close
60000003 = fx_footsteps.fxl | fx_footsteps_Default_Right
8600012A = fx_footsteps.fxl | fx_footsteps_Lands_small_wood
124630C6 = fx_GoldenTickets.fxl | Glasses_Upgrade_activate_OLD_pulsing_rings2
28000526 = fx_handcombat.fxl | fx_handcombat_Hit_LR_power
86000017 = fx_handcombat.fxl | fx_handcombat_Hit_HB
28000422 = fx_interlock.fxl | fx_interlock_Impacts_impact_power
860001D5 = fx_live_events.fxl | event_2_1_bomb_countdown_countdown_40_min
860001DB = fx_live_events.fxl | event_2_1_bomb_countdown_countdown_04_min
860001F1 = fx_live_events.fxl | event_2_1_bomb_countdown_Bomb_tampering_detected
22000655 = fx_object.fxl | fx_object_select_target_select_char
280009A7 = fx_object.fxl | fx_object_Interface_neighborhood_names_guinness_lake
B000001E = fx_object.fxl | fx_object_Interface_special_move_fail
4A0000D5 = fx_props.fxl | club_props_projected_patterns_orange_spinner7
28000A6F = test.fxl | Temp_balance_middle
28000626 = fx_character.fxl | fx_character_multipartite_stun_cast
28000701 = fx_character.fxl | combat_rev9_components_energy_power_leftfoot_flare
280000A0 = fx_character.fxl | viruscast_split_code_infection_code_infection4_start
280001A7 = fx_character.fxl | viruscast_split_logic_cannon_logiccannon1_start
280001FB = fx_character.fxl | viruscast_split_harmful_code_harmfulcode3_start
2800021C = fx_character.fxl | viruscast_split_fumble_field_fumblefield_end
280007A3 = fx_character.fxl | viruscast_split_freeze_area_freezearea2_middle
28000906 = fx_character.fxl | viruscast_split_stun_stun1_middle
28000968 = fx_character.fxl | viruscast_split_force_enhancer_forceenhancer_middle
28000A2A = fx_character.fxl | viruscast_split_repair_rsi_repair_rsi3
28000A3A = fx_character.fxl | viruscast_split_restore_group_restore_group3
58000100 = fx_dialog.fxl | Morpheus_GROUPED MESSAGES_Morpheus_Gives_Item
58000187 = fx_dialog.fxl | Persephone_Misc Lines_Persephone_DontWorryAboutFlood
5800019D = fx_dialog.fxl | Persephone_Cell Phone_Persephone_AnsweringMachine1
5800026C = fx_dialog.fxl | Oracle_Random Quotes_Oracle_ICantTellYouHowThisWillEnd
5800027A = fx_dialog.fxl | Oracle_Random Quotes_Oracle_YourPathGoesAsFarAsYourCourageToWalk
8600014B = fx_environmental.fxl | Sounds_door_vault_open
86000036 = fx_footsteps.fxl | fx_footsteps_Footsteps_Dirt_Left
86000192 = fx_footsteps.fxl | fx_footsteps_Robot_right
28000529 = fx_handcombat.fxl | fx_handcombat_Hit_MR_power
860001D4 = fx_live_events.fxl | event_2_1_bomb_countdown_countdown_50_min
860001DC = fx_live_events.fxl | event_2_1_bomb_countdown_countdown_05_min
0800000B = fx_live_events.fxl | event_2_1_unlimit_death
2800066D = fx_object.fxl | fx_object_missionobject_critical
28000691 = fx_object.fxl | Traps_detect_shock_trap_dangerous
4A000019 = fx_props.fxl | props_bar_sign01
4A0000D6 = fx_props.fxl | club_props_projected_patterns_orange_spinner8
860001A0 = fx_sound_ambient.fxl | World Ext_IntlDistrict 0
860001C6 = fx_sound_ambient.fxl | World Int_Warehouse Spawner
28000456 = fx_weapon.fxl | fx_weapon_automaticrifle1_muzzle_flash
8600011C = fx_weapon.fxl | fx_weapon_submachinegun1_equip
860000A7 = fx_character.fxl | Emotes_neckcrack_1
860000AE = fx_character.fxl | Emotes_shakefist_growl_female
8600013B = fx_character.fxl | fx_character_overclock_activate
280000A8 = fx_character.fxl | viruscast_split__utility__targetbase
280001AC = fx_character.fxl | viruscast_split_logic_cannon_logiccannon2_start
280007A8 = fx_character.fxl | viruscast_split_freeze_area_freezearea3_middle
2800090A = fx_character.fxl | viruscast_split_stun_stun2_middle
280009CA = fx_character.fxl | viruscast_split_proxycoder_proxycoder_end
28000A2E = fx_character.fxl | viruscast_split_repair_rsi_repair_rsi4
28000733 = fx_cinematic.fxl | cinematic 1.3_bullet_trail
580000E7 = fx_dialog.fxl | Niobe_GROUPED MESSAGES_Niobe_Intro_And_Recruiting
5800019E = fx_dialog.fxl | Persephone_Cell Phone_Persephone_AnsweringMachine2
5800020E = fx_dialog.fxl | Morpheus_Gives Item_Morpheus_NowItIsTimeForMeToGiveYouSomething
5800031B = fx_dialog.fxl | Seraph_Greets Ally_Seraph_ItIsGoodToSeeYou
0400004A = fx_dialog.fxl | Morpheus_Warns Threatening Player_MorpheusRecording_IfYouHaveLearnedAntyingYoullKnowBetterThanTo
860001D3 = fx_live_events.fxl | event_2_1_bomb_countdown_countdown_60_min
860001DD = fx_live_events.fxl | event_2_1_bomb_countdown_countdown_06_min
DE0000B2 = fx_live_events.fxl | event_2_1_player_touch_of_death
0800000C = fx_live_events.fxl | event_2_1_bomb_explode_pulse_explode
1246314B = fx_npc.fxl | effectuator_sphere_ring
2800058F = fx_object.fxl | Traps_laserhall_red_4m_on
8600008E = fx_object.fxl | fx_object_lightswitch_off
280009C2 = fx_object.fxl | fx_object_Interface_neighborhood_names_southard
12DEC79B = fx_object.fxl | Test_Untitled FX 1
B000002A = fx_object.fxl | fx_object_Searchlight_searchlight_final
4A00001B = fx_props.fxl | props_bar_sign02
860000DA = fx_props.fxl | props_sounds_refrigerator
86000000 = fx_weapon.fxl | fx_weapon_automaticrifle2_muzzle_flash
8600011D = fx_weapon.fxl | fx_weapon_submachinegun2_equip
04000032 = fx_winter.fxl | partyhats_activate_gold
280000A9 = test.fxl | Test FX_exit_the_matrix
28000636 = fx_character.fxl | fx_character_signal_bounce
28000667 = fx_character.fxl | hyperjump_land
860000A8 = fx_character.fxl | Emotes_neckcrack_2
2800072B = fx_character.fxl | combat_rev9_components_powershot_righthand
860000F1 = fx_character.fxl | Emotes_mockcry_male
280007AC = fx_character.fxl | viruscast_split_freeze_area_freezearea4_middle
28000815 = fx_character.fxl | viruscast_split_destroy_health_destroyhealth_end
2800094F = fx_character.fxl | viruscast_split_static_field_staticfield1_start
28000A00 = fx_character.fxl | viruscast_split_logic_barrage_logicbarrage2
124630EB = fx_character.fxl | fx_character_hypersprint_LF
580001D3 = fx_dialog.fxl | Merovingian_Speaks to New Recruit_Merovingian_IAmNotAnEasyTaskmasterButIAmGenerous
58000233 = fx_dialog.fxl | Oracle_Asks Player to Stop_Oracle_ThatsGoodNowWaitThere
580002AA = fx_dialog.fxl | Persephone_Greets Ally_Persephone_Hello
58000345 = fx_dialog.fxl | Niobe_Greets Ally_Niobe_Welcome
58000355 = fx_dialog.fxl | Niobe_Intro and Recruiting_Niobe_WillYouJoinUs
86000147 = fx_environmental.fxl | Sounds_door_metal_light_close
DE00005B = fx_live_events.fxl | event_2_1_fb_boss_death_fb_boss_begin_death
860001DE = fx_live_events.fxl | event_2_1_bomb_countdown_countdown_07_min
280009B3 = fx_object.fxl | fx_object_Interface_neighborhood_names_magog
4A00001C = fx_props.fxl | props_bar_sign03
860001B2 = fx_sound_ambient.fxl | World Int_Dungeon Default Spawner
280005CD = fx_weapon.fxl | fx_weapon_bullet_shell_hitfloorsound_regular
280005FB = fx_character.fxl | fx_character_kungfu_simulacra_cast
28000617 = fx_character.fxl | fx_character_vision_disruption_component
280006D0 = fx_character.fxl | fx_character_recall_team_member_cast
28000716 = fx_character.fxl | combat_rev9_energized_throw_loop
2800076A = fx_character.fxl | fx_character_offbalance_loop
28000787 = fx_character.fxl | chat_directed
28000040 = fx_character.fxl | viruscast_split_code_freeze_codefreeze1_middle
280000A7 = fx_character.fxl | viruscast_split__health__targetbase
280000F9 = fx_character.fxl | viruscast_split_sweep_party1_sweepparty1_start
2800017A = fx_character.fxl | viruscast_split_overload_overload1_start
28000192 = fx_character.fxl | viruscast_split_move_accelerator_moveaccelerator1_middle
280007B0 = fx_character.fxl | viruscast_split_freeze_area_freezearea5_middle
280008C5 = fx_character.fxl | viruscast_split_tinkering_tinkering
28000930 = fx_character.fxl | viruscast_split_group_repairs_grouprepairs1
28000A01 = fx_character.fxl | viruscast_split_logic_barrage_logicbarrage3
580000CB = fx_dialog.fxl | Merovingian_Misc Lines_Merovingian_PasMal
580001C1 = fx_dialog.fxl | Merovingian_Gives Item_Merovingian_ThisIsForYou
6000000D = fx_handcombat.fxl | fx_handcombat_Hit_HF
28000747 = fx_handcombat.fxl | fx_handcombat_Hit_LB
860001DF = fx_live_events.fxl | event_2_1_bomb_countdown_countdown_08_min
860001F0 = fx_live_events.fxl | event_2_1_bomb_countdown_Come_closer
2800054D = fx_object.fxl | fx_object_Interface_bodytype_target
2800057F = fx_object.fxl | GameObjects_desk_component_right
28000664 = fx_object.fxl | fx_object_consumables_eyedrops
28000999 = fx_object.fxl | fx_object_Interface_neighborhood_names_baldwin_heights
1200001C = fx_Pandoras_Box.fxl | Portal_spawn_in
4A00001D = fx_props.fxl | props_bar_sign04
86000092 = fx_RichWorldSnds.fxl | Cars_Van_idle
860001A9 = fx_sound_ambient.fxl | World Int_Club 0
22000046 = fx_ui.fxl | Combat_Text_CombatText_Damage
860000E0 = fx_weapon.fxl | fx_weapon_automaticrifle1_reload
2800078B = fx_weapon.fxl | fx_weapon_knife_throw
28000619 = fx_character.fxl | fx_character_movement_disruption
28000641 = fx_character.fxl | fx_character_pistol_simulacra
28000043 = fx_character.fxl | viruscast_split_code_freeze_codefreeze2_middle
280000CE = fx_character.fxl | viruscast_split_zone_of_powerlessness_zoneofpowerless_end
280007F7 = fx_character.fxl | viruscast_split_sweep_party1_sweepparty2_start
28000197 = fx_character.fxl | viruscast_split_move_accelerator_moveaccelerator2_middle
2800019D = fx_character.fxl | viruscast_split_miasma_miasma1_end
280007D7 = fx_character.fxl | viruscast_split_disruption_field_disruptionfield_middle
28000841 = fx_character.fxl | viruscast_split_advanced_tinkering_advancedtinkering_end
28000934 = fx_character.fxl | viruscast_split_group_repairs_grouprepairs2
28000A02 = fx_character.fxl | viruscast_split_logic_barrage_logicbarrage4
12463164 = fx_character.fxl | combat_rev9_components_precise_speed_leftarm
280006D8 = fx_cinematic.fxl | cinematic 1.2_cookie_morpheushand
580000E0 = fx_dialog.fxl | Merovingian_Cell Phone_Merovingian_SomeoneWillBeWaitingForYou
5800006B = fx_dialog.fxl | Merovingian_Cell Phone_Merovingian_HurryYouDontHaveMuchTime
580001C9 = fx_dialog.fxl | Merovingian_Greets Enemy_Merovingian_WhatAreYouDoingHere
580001CB = fx_dialog.fxl | Merovingian_Requests Task_Merovingian_IHaveAnAssignmentForYouDontScrewUp
58000296 = fx_dialog.fxl | Persephone_Being Attacked_Persephone_DoYouKnowWhoIAmStopThisAtOnce
5800031F = fx_dialog.fxl | Seraph_Greets Enemy_Seraph_AWiseManGetsMoreUseFromHisEnemiesThanAFoolFrom
5800038B = fx_dialog.fxl | Tyndall_IntroducesSelf
8600013F = fx_environmental.fxl | Sounds_door_wood_light_open
280004C0 = fx_handcombat.fxl | fx_handcombat_Hit_MB
860001E0 = fx_live_events.fxl | event_2_1_bomb_countdown_countdown_09_min
040000A9 = fx_live_events.fxl | Cypherite_sleep_spawn
040000C1 = fx_npc.fxl | oligarchs_spawns_signalmodulation
3A000001 = fx_object.fxl | fx_object_select_target_select_target_passive_rings
28000997 = fx_object.fxl | fx_object_Interface_neighborhood_names_akasaka
280009B0 = fx_object.fxl | fx_object_Interface_neighborhood_names_lamar
04000078 = fx_object.fxl | fx_object_datamine_tap
4A00001E = fx_props.fxl | props_bar_sign05
860000E1 = fx_weapon.fxl | fx_weapon_automaticrifle2_reload
28000632 = fx_character.fxl | fx_character_shadow_object
28000651 = fx_character.fxl | fx_character_remote_operation
860000A9 = fx_character.fxl | Emotes_rolldice_shake
2800019B = fx_character.fxl | viruscast_split_move_accelerator_moveaccelerator3_middle
280001A2 = fx_character.fxl | viruscast_split_miasma_miasma2_end
280001BF = fx_character.fxl | viruscast_split_logic_blast_logicblast1
2800082C = fx_character.fxl | signal_boost_single
28000875 = fx_character.fxl | viruscast_split_patcherdaemon1_patcherdaemon1
28000938 = fx_character.fxl | viruscast_split_group_repairs_grouprepairs3
580000D0 = fx_dialog.fxl | Merovingian_Misc Lines_Merovingian_HowPathetic
580000DD = fx_dialog.fxl | Merovingian_Cell Phone_Merovingian_YouCanMeetYourContactThere
58000066 = fx_dialog.fxl | Merovingian_Cell Phone_Merovingian_INeedYouToComeHere
58000174 = fx_dialog.fxl | Persephone_GROUPED MESSAGES_Persephone_Being_Attacked
580002E7 = fx_dialog.fxl | Sati_Follows_Sati_ThisWillBeLikeFollowTheLeader
58000341 = fx_dialog.fxl | Niobe_Gives Message_Niobe_TakeThisMessageAndDeliverItAsQuicklyAsPossible
58000356 = fx_dialog.fxl | Niobe_Receives Item_Niobe_ExcellentThankYouForBringingThis
2800044D = fx_environmental.fxl | fx_environmental_red_light
22000645 = fx_environmental.fxl | Lightning_Lightning_Spawner_Large
86000122 = fx_footsteps.fxl | fx_footsteps_Lands_small_carpet
124630C5 = fx_GoldenTickets.fxl | Glasses_Upgrade_activate_OLD_cube_border
DE000007 = fx_live_events.fxl | event_1_1_agent_anderson_death
0400003E = fx_live_events_2.fxl | tissue
2800065D = fx_object.fxl | Traps_laserdoordouble_green_on
28000998 = fx_object.fxl | fx_object_Interface_neighborhood_names_apollyon
280004AD = fx_props.fxl | props_flagpole_regular_1
4A00001F = fx_props.fxl | props_bar_sign06
860000D9 = fx_props.fxl | props_sounds_mainframe
860001B3 = fx_sound_ambient.fxl | World Int_Dungeon Project01 0
2800059C = fx_character.fxl | fx_character_deflection
280006AC = fx_character.fxl | fx_character_powerless_loop
860000AD = fx_character.fxl | Emotes_scratchhead
2800001D = fx_character.fxl | viruscast_split_restore_health_restore_health1_end
28000035 = fx_character.fxl | viruscast_split_buffer_overflow_bufferoverflow1_start
2800007E = fx_character.fxl | viruscast_split_cancel_upgrade_cancelupgrade1_start
280001C0 = fx_character.fxl | viruscast_split_logic_blast_logicblast2
280001D4 = fx_character.fxl | viruscast_split_logic_barrage_logicbarrage_end
2800093C = fx_character.fxl | viruscast_split_group_repairs_grouprepairs4
58000032 = fx_dialog.fxl | Oracle_GROUPED MESSAGES_Oracle_Gives_Item
58000170 = fx_dialog.fxl | Persephone_GROUPED MESSAGES_Persephone_Takes_Item
580001EA = fx_dialog.fxl | Merovingian_Tries Recruiting Player_Merovingian_IfYouProveYourselfWorthyIMayHaveAPlace
58000202 = fx_dialog.fxl | Morpheus_Arrives at Spot_Morpheus_ThankYouForYourGuidance
5800027E = fx_dialog.fxl | Oracle_Random Quotes_Oracle_SatiPutTheSunBackWhereItGoes
580002B0 = fx_dialog.fxl | Persephone_Requests Task_Persephone_YouWorkForMyHusbandYouDoHisDirtyWorkNowDoMine
580002F7 = fx_dialog.fxl | Sati_Stops Following_Sati_IllwaitHere
2200062C = fx_environmental.fxl | Sounds_matrixeffect_codeloop
86000076 = fx_footsteps.fxl | fx_footsteps_Footsteps_Wood_Left
8600016A = fx_footsteps.fxl | fx_footsteps_Barefoot_Tile_Left
124630C7 = fx_GoldenTickets.fxl | Glasses_Upgrade_activate_OLD_aoe_pulse
12463134 = fx_live_events_2.fxl | live_event_2_3_Assassin_death_children_fly_spit_1
12463136 = fx_live_events_2.fxl | live_event_2_3_assassin_aoe2
280006C2 = fx_object.fxl | fx_object_waterdrip_380height_slow
1200001D = fx_Pandoras_Box.fxl | Portal_spawn_in_pulsing_broken_rings
280004AE = fx_props.fxl | props_flagpole_regular_2
4A00002E = fx_props.fxl | news_ticker_right_side
4A000108 = fx_props.fxl | club_props_spotlights_angled_stationary_3m_white
22000023 = fx_sound_ambient.fxl | Weather_Rain Low Spawner
860001B7 = fx_sound_ambient.fxl | World Int_Dungeon Project02 0
28000625 = fx_character.fxl | fx_character_multipartite_movement_disruption
28000712 = fx_character.fxl | combat_rev9_components_energy_throw_leftfoot_flare
28000014 = fx_character.fxl | access_node_1
2800003B = fx_character.fxl | viruscast_split_buffer_overflow_bufferoverflow2_start
28000083 = fx_character.fxl | viruscast_split_cancel_upgrade_cancelupgrade2_start
28000122 = fx_character.fxl | viruscast_split_restore_health_restore_health2_end
2800017E = fx_character.fxl | viruscast_split_overheat_overheat1_start
280001C1 = fx_character.fxl | viruscast_split_logic_blast_logicblast3
28000811 = fx_character.fxl | viruscast_split_destroy_resolve_destroyresolve1_end
2800083A = fx_character.fxl | NPC_boost
28000856 = fx_character.fxl | viruscast_split_enhancedaemon_enhancedaemon_middle
28000879 = fx_character.fxl | viruscast_split_patcherdaemon2_patcherdaemon2
280008CD = fx_character.fxl | viruscast_split_intense_attack_intense_attack
28000940 = fx_character.fxl | viruscast_split_group_repairs_grouprepairs5
28000A75 = fx_character.fxl | viruscast_split_balance_balance_middle
580001C3 = fx_dialog.fxl | Merovingian_Gives Message for Persephone_Merovingian_MyWifeHasNeedOfThisRightAway
580002AE = fx_dialog.fxl | Persephone_Requests Task_Persephone_ThereIsSomethingElseYouCanDoForMe
86000145 = fx_environmental.fxl | Sounds_door_metal_heavy_close
6000000A = fx_handcombat.fxl | fx_handcombat_Hit_LF
12463138 = fx_live_events_2.fxl | live_event_2_3_Assassin_death_children_fly_spit_2
28000676 = fx_object.fxl | GameObjects_cellphone
2800068B = fx_object.fxl | Traps_detect_shock_component_deadly
280004AF = fx_props.fxl | props_flagpole_regular_3
2800082E = fx_props.fxl | props_signal_booster_component
58000026 = fx_sizzle.fxl | Zsiz_GunFx_ArcDodgeShooter
22000031 = fx_sound_ambient.fxl | Weather_Snow Med Spawner
80000001 = fx_ads.fxl | Stand_Alone_Massive_Sprite_Ads_massive_sprite_ad_01
860000F4 = fx_character.fxl | Emotes_airhypo
28000785 = fx_character.fxl | chat_normal
2800003E = fx_character.fxl | viruscast_split_buffer_overflow_bufferoverflow3_start
280000C4 = fx_character.fxl | viruscast_split_combat_enhancements_combatenhancements1_start
280000EA = fx_character.fxl | viruscast_split_upgrade_health_upgradehealth
280007F6 = fx_character.fxl | viruscast_split_ui_lag1_uilag1_end
28000126 = fx_character.fxl | viruscast_split_restore_health_restore_health3_end
28000183 = fx_character.fxl | viruscast_split_overheat_overheat2_start
280001C2 = fx_character.fxl | viruscast_split_logic_blast_logicblast4
280007D5 = fx_character.fxl | viruscast_split_efficiency_efficiency1
28000944 = fx_character.fxl | viruscast_split_group_repairs_grouprepairs6
280009EA = fx_character.fxl | viruscast_split_emergency_repairs_emergencyrepairs_component
124630EC = fx_character.fxl | fx_character_hypersprint_RF
08000000 = fx_cryptos.fxl | dialog_3_2_agent
580001F6 = fx_dialog.fxl | Morpheus_Stops Following_Morpheus_IllWaitRightHere
5800029E = fx_dialog.fxl | Persephone_Flirts_Persephone_Flirts_IfOnlyYouHadComeToTheMatrixALongTimeAgo
580002A7 = fx_dialog.fxl | Persephone_Gives Item_Persephone_IMustGiveThisAndYouMustTakeItForMe
580002BF = fx_dialog.fxl | Persephone_Speaks to Old Member_Persephone_YouHaveHisConfidenceButNotHisTrust
28000564 = fx_environmental.fxl | fx_environmental_black_smoke_xxlarge
86000018 = fx_handcombat.fxl | fx_handcombat_Hit_MF
12463131 = fx_live_events_2.fxl | live_event_2_3_Fly_Infestation_bench
040000C3 = fx_npc.fxl | oligarchs_spawns_antidecelerated
28000593 = fx_object.fxl | Traps_laserdoor_green_off
280009BF = fx_object.fxl | fx_object_Interface_neighborhood_names_sai_kung
280004B0 = fx_props.fxl | props_flagpole_regular_4
860000D7 = fx_props.fxl | props_sounds_freezer
