LITTLE      BIG             SYMBOLICNAME
7d000028 2800007d = FX_VIRUSCAST_SPLIT_CANCEL_UPGRADE_CANCELUPGRADE1_MIDDLE
7e000028 2800007e = FX_VIRUSCAST_SPLIT_CANCEL_UPGRADE_CANCELUPGRADE1_START
7f000028 2800007f = FX_VIRUSCAST_SPLIT_CANCEL_UPGRADE_CANCEL_UPGRADE1
80000028 28000080 = FX_VIRUSCAST_SPLIT_CANCEL_UPGRADE_CANCEL_UPGRADE2
81000028 28000081 = FX_VIRUSCAST_SPLIT_CANCEL_UPGRADE_CANCELUPGRADE2_END
82000028 28000082 = FX_VIRUSCAST_SPLIT_CANCEL_UPGRADE_CANCELUPGRADE2_MIDDLE
83000028 28000083 = FX_VIRUSCAST_SPLIT_CANCEL_UPGRADE_CANCELUPGRADE2_START
84000028 28000084 = FX_VIRUSCAST_SPLIT_CODE_FLUX_CODEFLUX_END
f3070028 280007f3 = FX_VIRUSCAST_SPLIT_CODE_FLUX_CODEFLUX_MIDDLE
86000028 28000086 = FX_VIRUSCAST_SPLIT_CODE_FLUX_CODEFLUX_START
87000028 28000087 = FX_VIRUSCAST_SPLIT_CODE_FLUX_CODEFLUX
88000028 28000088 = FX_VIRUSCAST_SPLIT_ACOUSTIC_DECOYS_ACOUSTIC_DECOY1
89000028 28000089 = FX_VIRUSCAST_SPLIT_AIKIDO_SIMULACRA_AIKIDO_SIMULACRA
8a000028 2800008a = FX_VIRUSCAST_SPLIT_AREA_DISRUPTION_AREA_DISRUPTION1
8b000028 2800008b = FX_VIRUSCAST_SPLIT_AREA_DISRUPTION_AREA_DISRUPTION2
8c000028 2800008c = FX_VIRUSCAST_SPLIT_AREA_DISRUPTION_AREA_DISRUPTION2_END
8d000028 2800008d = FX_VIRUSCAST_SPLIT_AREA_DISRUPTION_AREA_DISRUPTION2_MIDDLE
8e000028 2800008e = FX_VIRUSCAST_SPLIT_AREA_DISRUPTION_AREA_DISRUPTION2_START
8f000028 2800008f = FX_VIRUSCAST_SPLIT_CODE_FREEZE_CODEFREEZE1
90000028 28000090 = FX_VIRUSCAST_SPLIT_CODE_FREEZE_CODEFREEZE2
91000028 28000091 = FX_VIRUSCAST_SPLIT_CODE_INFECTION_CODE_INFECTION1_END
92000028 28000092 = FX_VIRUSCAST_SPLIT_CODE_INFECTION_CODE_INFECTION1_MIDDLE
93000028 28000093 = FX_VIRUSCAST_SPLIT_CODE_INFECTION_CODE_INFECTION1_START
94000028 28000094 = FX_VIRUSCAST_SPLIT_CODE_INFECTION_CODE_INFECTION1
95000028 28000095 = FX_VIRUSCAST_SPLIT_CODE_INFECTION_CODE_INFECTION2
96000028 28000096 = FX_VIRUSCAST_SPLIT_CODE_INFECTION_CODE_INFECTION3
97000028 28000097 = FX_VIRUSCAST_SPLIT_CODE_INFECTION_CODE_INFECTION4
98000028 28000098 = FX_VIRUSCAST_SPLIT_CODE_INFECTION_CODE_INFECTION2_END
99000028 28000099 = FX_VIRUSCAST_SPLIT_CODE_INFECTION_CODE_INFECTION2_MIDDLE
9a000028 2800009a = FX_VIRUSCAST_SPLIT_CODE_INFECTION_CODE_INFECTION2_START
9b000028 2800009b = FX_VIRUSCAST_SPLIT_CODE_INFECTION_CODE_INFECTION3_END
9c000028 2800009c = FX_VIRUSCAST_SPLIT_CODE_INFECTION_CODE_INFECTION3_MIDDLE
9d000028 2800009d = FX_VIRUSCAST_SPLIT_CODE_INFECTION_CODE_INFECTION3_START
9e000028 2800009e = FX_VIRUSCAST_SPLIT_CODE_INFECTION_CODE_INFECTION4_END
9f000028 2800009f = FX_VIRUSCAST_SPLIT_CODE_INFECTION_CODE_INFECTION4_MIDDLE
a0000028 280000a0 = FX_VIRUSCAST_SPLIT_CODE_INFECTION_CODE_INFECTION4_START
a1000028 280000a1 = FX_VIRUSCAST_SPLIT_CODE_NUKE_CODENUKE_END
a2000028 280000a2 = FX_VIRUSCAST_SPLIT_CODE_NUKE_CODENUKE_MIDDLE
a3000028 280000a3 = FX_VIRUSCAST_SPLIT_CODE_NUKE_CODENUKE_START
a4000028 280000a4 = FX_VIRUSCAST_SPLIT__BUFF__TARGETBASE
a5000028 280000a5 = FX_VIRUSCAST_SPLIT__DAMAGE__TARGETBASE
a6000028 280000a6 = FX_VIRUSCAST_SPLIT__DEBUFF__TARGETBASE
a7000028 280000a7 = FX_VIRUSCAST_SPLIT__HEALTH__TARGETBASE
a8000028 280000a8 = FX_VIRUSCAST_SPLIT__UTILITY__TARGETBASE
f4070028 280007f4 = FX_VIRUSCAST_SPLIT_CODE_NUKE_CODENUKE
aa000028 280000aa = FX_VIRUSCAST_SPLIT_CODE_ROT_CODEROT1_END
ab000028 280000ab = FX_VIRUSCAST_SPLIT_CODE_ROT_CODEROT1_MIDDLE
ac000028 280000ac = FX_VIRUSCAST_SPLIT_CODE_ROT_CODEROT1_START
ad000028 280000ad = FX_VIRUSCAST_SPLIT_CODE_ROT_CODEROT1
b2000028 280000b2 = FX_VIRUSCAST_SPLIT_CODE_SHOCK_CODESHOCK_END
b3000028 280000b3 = FX_VIRUSCAST_SPLIT_CODE_SHOCK_CODESHOCK_MIDDLE
b4000028 280000b4 = FX_VIRUSCAST_SPLIT_CODE_SHOCK_CODESHOCK_START
b5000028 280000b5 = FX_VIRUSCAST_SPLIT_CODE_SHOCK_CODESHOCK
b6000028 280000b6 = FX_VIRUSCAST_SPLIT_CODE_STOP_CODESTOP1_END
b7000028 280000b7 = FX_VIRUSCAST_SPLIT_CODE_STOP_CODESTOP1_MIDDLE
b8000028 280000b8 = FX_VIRUSCAST_SPLIT_CODE_STOP_CODESTOP1_START
b9000028 280000b9 = FX_VIRUSCAST_SPLIT_CODE_STOP_CODESTOP1
ba000028 280000ba = FX_VIRUSCAST_SPLIT_COMBAT_AURA_COMBATAURA1_END
bb000028 280000bb = FX_VIRUSCAST_SPLIT_COMBAT_AURA_COMBATAURA1_MIDDLE
bc000028 280000bc = FX_VIRUSCAST_SPLIT_COMBAT_AURA_COMBATAURA1_START
bd000028 280000bd = FX_VIRUSCAST_SPLIT_COMBAT_AURA_COMBATAURA1
be000028 280000be = FX_VIRUSCAST_SPLIT_COMBAT_AURA_COMBATAURA2
bf000028 280000bf = FX_VIRUSCAST_SPLIT_COMBAT_AURA_COMBATAURA2_END
c0000028 280000c0 = FX_VIRUSCAST_SPLIT_COMBAT_AURA_COMBATAURA2_MIDDLE
c1000028 280000c1 = FX_VIRUSCAST_SPLIT_COMBAT_AURA_COMBATAURA2_START
c2000028 280000c2 = FX_VIRUSCAST_SPLIT_COMBAT_ENHANCEMENTS_COMBATENHANCEMENTS1_END
c3000028 280000c3 = FX_VIRUSCAST_SPLIT_COMBAT_ENHANCEMENTS_COMBATENHANCEMENTS1_MIDDLE
c4000028 280000c4 = FX_VIRUSCAST_SPLIT_COMBAT_ENHANCEMENTS_COMBATENHANCEMENTS1_START
c5000028 280000c5 = FX_VIRUSCAST_SPLIT_COMBAT_ENHANCEMENTS_COMBATENHANCEMENTS1
c6000028 280000c6 = FX_VIRUSCAST_SPLIT_COMBAT_HACKING_COMBATHACKING_END
c7000028 280000c7 = FX_VIRUSCAST_SPLIT_COMBAT_HACKING_COMBATHACKING_MIDDLE
c8000028 280000c8 = FX_VIRUSCAST_SPLIT_COMBAT_HACKING_COMBATHACKING_START
c9000028 280000c9 = FX_VIRUSCAST_SPLIT_COMBAT_HACKING_COMBATHACKING
ca000028 280000ca = FX_VIRUSCAST_SPLIT_COMBAT_SHUTDOWN_COMBATSHUTDOWN_END
cb000028 280000cb = FX_VIRUSCAST_SPLIT_COMBAT_SHUTDOWN_COMBATSHUTDOWN_MIDDLE
cc000028 280000cc = FX_VIRUSCAST_SPLIT_COMBAT_SHUTDOWN_COMBATSHUTDOWN_START
cd000028 280000cd = FX_VIRUSCAST_SPLIT_COMBAT_SHUTDOWN_COMBATSHUTDOWN
ce000028 280000ce = FX_VIRUSCAST_SPLIT_ZONE_OF_POWERLESSNESS_ZONEOFPOWERLESS_END
cf000028 280000cf = FX_VIRUSCAST_SPLIT_ZONE_OF_POWERLESSNESS_ZONEOFPOWERLESS_MIDDLE
d0000028 280000d0 = FX_VIRUSCAST_SPLIT_ZONE_OF_POWERLESSNESS_ZONEOFPOWERLESS_START
d1000028 280000d1 = FX_VIRUSCAST_SPLIT_ZONE_OF_POWERLESSNESS_ZONEOFPOWERLESS
d3000028 280000d3 = FX_VIRUSCAST_SPLIT_WHITE_NOISE_WHITENOISE_MIDDLE
d4000028 280000d4 = FX_VIRUSCAST_SPLIT_WHITE_NOISE_WHITENOISE_START
d5000028 280000d5 = FX_VIRUSCAST_SPLIT_WHITE_NOISE_WHITENOISE
d6000028 280000d6 = FX_VIRUSCAST_SPLIT_WEAPONS_BOOST_WEAPONSBOOST_MIDDLE
d8000028 280000d8 = FX_VIRUSCAST_SPLIT_WEAPONS_BOOST_WEAPONSBOOST_START
d9000028 280000d9 = FX_VIRUSCAST_SPLIT_WEAPONS_BOOST_WEAPONSBOOST
da000028 280000da = FX_VIRUSCAST_SPLIT_WEAPONS_BOOST_WEAPONSBOOST_END
db000028 280000db = FX_VIRUSCAST_SPLIT_VIRAL_SHIELDING_VIRALSHIELDING_END
dc000028 280000dc = FX_VIRUSCAST_SPLIT_VIRAL_SHIELDING_VIRALSHIELDING_MIDDLE
dd000028 280000dd = FX_VIRUSCAST_SPLIT_VIRAL_SHIELDING_VIRALSHIELDING_START
de000028 280000de = FX_VIRUSCAST_SPLIT_VIRAL_SHIELDING_VIRALSHIELDING
df000028 280000df = FX_VIRUSCAST_SPLIT_VECTOR_VECTOR_END
e0000028 280000e0 = FX_VIRUSCAST_SPLIT_VECTOR_VECTOR_MIDDLE
e1000028 280000e1 = FX_VIRUSCAST_SPLIT_VECTOR_VECTOR_START
e2000028 280000e2 = FX_VIRUSCAST_SPLIT_VECTOR_VECTOR
e3000028 280000e3 = FX_VIRUSCAST_SPLIT_UPGRADE_MASTER_UPGRADEMASTER_END
e4000028 280000e4 = FX_VIRUSCAST_SPLIT_UPGRADE_MASTER_UPGRADEMASTER_MIDDLE
e5000028 280000e5 = FX_VIRUSCAST_SPLIT_UPGRADE_MASTER_UPGRADEMASTER_START
e6000028 280000e6 = FX_VIRUSCAST_SPLIT_UPGRADE_MASTER_UPGRADEMASTER
e7000028 280000e7 = FX_VIRUSCAST_SPLIT_UPGRADE_HEALTH_UPGRADEHEALTH_END
e8000028 280000e8 = FX_VIRUSCAST_SPLIT_UPGRADE_HEALTH_UPGRADEHEALTH_MIDDLE
e9000028 280000e9 = FX_VIRUSCAST_SPLIT_UPGRADE_HEALTH_UPGRADEHEALTH_START
ea000028 280000ea = FX_VIRUSCAST_SPLIT_UPGRADE_HEALTH_UPGRADEHEALTH
eb000028 280000eb = FX_VIRUSCAST_SPLIT_UPGRADE_ATTACKS_UPGRADEATTACKS_END
ec000028 280000ec = FX_VIRUSCAST_SPLIT_UPGRADE_ATTACKS_UPGRADEATTACKS_MIDDLE
ed000028 280000ed = FX_VIRUSCAST_SPLIT_UPGRADE_ATTACKS_UPGRADEATTACKS_START
ee000028 280000ee = FX_VIRUSCAST_SPLIT_UPGRADE_ATTACKS_UPGRADEATTACKS
f6070028 280007f6 = FX_VIRUSCAST_SPLIT_UI_LAG1_UILAG1_END
f0000028 280000f0 = FX_VIRUSCAST_SPLIT_UI_LAG1_UILAG1_MIDDLE
f1000028 280000f1 = FX_VIRUSCAST_SPLIT_UI_LAG1_UILAG1_START
f2000028 280000f2 = FX_VIRUSCAST_SPLIT_UI_LAG1_UILAG1
f3000028 280000f3 = FX_VIRUSCAST_SPLIT_UI_LAG1_UILAG2
f4000028 280000f4 = FX_VIRUSCAST_SPLIT_UI_LAG1_UILAG2_END
f5000028 280000f5 = FX_VIRUSCAST_SPLIT_UI_LAG1_UILAG2_MIDDLE
f6000028 280000f6 = FX_VIRUSCAST_SPLIT_UI_LAG1_UILAG2_START
f7000028 280000f7 = FX_VIRUSCAST_SPLIT_SWEEP_PARTY1_SWEEPPARTY1_END
f8000028 280000f8 = FX_VIRUSCAST_SPLIT_SWEEP_PARTY1_SWEEPPARTY1_MIDDLE
f9000028 280000f9 = FX_VIRUSCAST_SPLIT_SWEEP_PARTY1_SWEEPPARTY1_START
fa000028 280000fa = FX_VIRUSCAST_SPLIT_SWEEP_PARTY1_SWEEPPARTY1
fb000028 280000fb = FX_VIRUSCAST_SPLIT_SWEEP_PARTY1_SWEEPPARTY2_END
fc000028 280000fc = FX_VIRUSCAST_SPLIT_SWEEP_PARTY1_SWEEPPARTY2_MIDDLE
f7070028 280007f7 = FX_VIRUSCAST_SPLIT_SWEEP_PARTY1_SWEEPPARTY2_START
fe000028 280000fe = FX_VIRUSCAST_SPLIT_SWEEP_PARTY1_SWEEPPARTY2
0b010028 2800010b = FX_VIRUSCAST_SPLIT_STANDOFF_STANDOFF_END
0c010028 2800010c = FX_VIRUSCAST_SPLIT_STANDOFF_STANDOFF_MIDDLE
0d010028 2800010d = FX_VIRUSCAST_SPLIT_STANDOFF_STANDOFF_START
0e010028 2800010e = FX_VIRUSCAST_SPLIT_STANDOFF_STANDOFF
0f010028 2800010f = FX_VIRUSCAST_SPLIT_SLOW_SLOW1_END
10010028 28000110 = FX_VIRUSCAST_SPLIT_SLOW_SLOW1_MIDDLE
11010028 28000111 = FX_VIRUSCAST_SPLIT_SLOW_SLOW1_START
12010028 28000112 = FX_VIRUSCAST_SPLIT_SLOW_SLOW1
13010028 28000113 = FX_VIRUSCAST_SPLIT_REVIVE_RSI_REVIVE_RSI_END
15010028 28000115 = FX_VIRUSCAST_SPLIT_REVIVE_RSI_REVIVE_RSI_MIDDLE
16010028 28000116 = FX_VIRUSCAST_SPLIT_REVIVE_RSI_REVIVE_RSI_START
17010028 28000117 = FX_VIRUSCAST_SPLIT_REVIVE_RSI_REVIVE_RSI
18010028 28000118 = FX_VIRUSCAST_SPLIT_REVITALIZE_RSI_REVITALIZE_RSI_END
19010028 28000119 = FX_VIRUSCAST_SPLIT_REVITALIZE_RSI_REVITALIZE_RSI_MIDDLE
1a010028 2800011a = FX_VIRUSCAST_SPLIT_REVITALIZE_RSI_REVITALIZE_RSI_START
1b010028 2800011b = FX_VIRUSCAST_SPLIT_REVITALIZE_RSI_REVITALIZE_RSI
1c010028 2800011c = FX_VIRUSCAST_SPLIT_RESTORE_RSI_RESTORE_RSI_END
1d010028 2800011d = FX_VIRUSCAST_SPLIT_RESTORE_RSI_RESTORE_RSI_MIDDLE
1e010028 2800011e = FX_VIRUSCAST_SPLIT_RESTORE_RSI_RESTORE_RSI_START
1f010028 2800011f = FX_VIRUSCAST_SPLIT_RESTORE_RSI_RESTORE_RSI
20010028 28000120 = FX_VIRUSCAST_SPLIT_RESTORE_HEALTH_RESTORE_HEALTH1
21010028 28000121 = FX_VIRUSCAST_SPLIT_RESTORE_HEALTH_RESTORE_HEALTH2
22010028 28000122 = FX_VIRUSCAST_SPLIT_RESTORE_HEALTH_RESTORE_HEALTH2_END
23010028 28000123 = FX_VIRUSCAST_SPLIT_RESTORE_HEALTH_RESTORE_HEALTH2_MIDDLE
24010028 28000124 = FX_VIRUSCAST_SPLIT_RESTORE_HEALTH_RESTORE_HEALTH2_START
25010028 28000125 = FX_VIRUSCAST_SPLIT_RESTORE_HEALTH_RESTORE_HEALTH3
26010028 28000126 = FX_VIRUSCAST_SPLIT_RESTORE_HEALTH_RESTORE_HEALTH3_END
27010028 28000127 = FX_VIRUSCAST_SPLIT_RESTORE_HEALTH_RESTORE_HEALTH3_MIDDLE
28010028 28000128 = FX_VIRUSCAST_SPLIT_RESTORE_HEALTH_RESTORE_HEALTH3_START
29010028 28000129 = FX_VIRUSCAST_SPLIT_RESTORE_HEALTH_RESTORE_HEALTH4
2a010028 2800012a = FX_VIRUSCAST_SPLIT_RESTORE_HEALTH_RESTORE_HEALTH4_END
2b010028 2800012b = FX_VIRUSCAST_SPLIT_RESTORE_HEALTH_RESTORE_HEALTH4_MIDDLE
2c010028 2800012c = FX_VIRUSCAST_SPLIT_RESTORE_HEALTH_RESTORE_HEALTH4_START
2d010028 2800012d = FX_VIRUSCAST_SPLIT_RESTORE_HEALTH_RESTORE_HEALTH5
2e010028 2800012e = FX_VIRUSCAST_SPLIT_RESTORE_HEALTH_RESTORE_HEALTH5_END
2f010028 2800012f = FX_VIRUSCAST_SPLIT_RESTORE_HEALTH_RESTORE_HEALTH5_MIDDLE
30010028 28000130 = FX_VIRUSCAST_SPLIT_RESTORE_HEALTH_RESTORE_HEALTH5_START
31010028 28000131 = FX_VIRUSCAST_SPLIT_RESTORE_HEALTH_RESTORE_HEALTH6
32010028 28000132 = FX_VIRUSCAST_SPLIT_RESTORE_HEALTH_RESTORE_HEALTH6_END
33010028 28000133 = FX_VIRUSCAST_SPLIT_RESTORE_HEALTH_RESTORE_HEALTH6_MIDDLE
34010028 28000134 = FX_VIRUSCAST_SPLIT_RESTORE_HEALTH_RESTORE_HEALTH6_START
35010028 28000135 = FX_VIRUSCAST_SPLIT_RESIST_COMBAT_RESISTCOMBAT1_END
36010028 28000136 = FX_VIRUSCAST_SPLIT_RESIST_COMBAT_RESISTCOMBAT1_MIDDLE
37010028 28000137 = FX_VIRUSCAST_SPLIT_RESIST_COMBAT_RESISTCOMBAT1_START
38010028 28000138 = FX_VIRUSCAST_SPLIT_RESIST_COMBAT_RESISTCOMBAT1
39010028 28000139 = FX_VIRUSCAST_SPLIT_RENEW_RSI_RENEW_RSI_END
3a010028 2800013a = FX_VIRUSCAST_SPLIT_RENEW_RSI_RENEW_RSI_MIDDLE
3b010028 2800013b = FX_VIRUSCAST_SPLIT_RENEW_RSI_RENEW_RSI_START
3c010028 2800013c = FX_VIRUSCAST_SPLIT_RENEW_RSI_RENEW_RSI
3d010028 2800013d = FX_VIRUSCAST_SPLIT_REJUVENATE_RSI_REJUVENATE_RSI_END
3e010028 2800013e = FX_VIRUSCAST_SPLIT_REJUVENATE_RSI_REJUVENATE_RSI_MIDDLE
3f010028 2800013f = FX_VIRUSCAST_SPLIT_REJUVENATE_RSI_REJUVENATE_RSI_START
40010028 28000140 = FX_VIRUSCAST_SPLIT_REJUVENATE_RSI_REJUVENATE_RSI
41010028 28000141 = FX_VIRUSCAST_SPLIT_RECALL_TEAMMEMBER_RECALL_TEAMMEMBER_END
42010028 28000142 = FX_VIRUSCAST_SPLIT_RECALL_TEAMMEMBER_RECALL_TEAMMEMBER_MIDDLE
43010028 28000143 = FX_VIRUSCAST_SPLIT_RECALL_TEAMMEMBER_RECALL_TEAMMEMBER_START
44010028 28000144 = FX_VIRUSCAST_SPLIT_RECALL_TEAMMEMBER_RECALL_TEAMMEMBER
45010028 28000145 = FX_VIRUSCAST_SPLIT_RECALL_MISSIONTEAM_RECALL_MISSIONTEAM_END
46010028 28000146 = FX_VIRUSCAST_SPLIT_RECALL_MISSIONTEAM_RECALL_MISSIONTEAM_MIDDLE
47010028 28000147 = FX_VIRUSCAST_SPLIT_RECALL_MISSIONTEAM_RECALL_MISSIONTEAM_START
48010028 28000148 = FX_VIRUSCAST_SPLIT_RECALL_MISSIONTEAM_RECALL_MISSIONTEAM
49010028 28000149 = FX_VIRUSCAST_SPLIT_RAVAGER_RAVAGER_END
4a010028 2800014a = FX_VIRUSCAST_SPLIT_RAVAGER_RAVAGER_MIDDLE
4b010028 2800014b = FX_VIRUSCAST_SPLIT_RAVAGER_RAVAGER_START
4c010028 2800014c = FX_VIRUSCAST_SPLIT_RAVAGER_RAVAGER
4d010028 2800014d = FX_VIRUSCAST_SPLIT_RANGE_BOOSTER_RANGEBOOSTER_END
4e010028 2800014e = FX_VIRUSCAST_SPLIT_RANGE_BOOSTER_RANGEBOOSTER_MIDDLE
4f010028 2800014f = FX_VIRUSCAST_SPLIT_RANGE_BOOSTER_RANGEBOOSTER_START
50010028 28000150 = FX_VIRUSCAST_SPLIT_RANGE_BOOSTER_RANGEBOOSTER
51010028 28000151 = FX_VIRUSCAST_SPLIT_PROCESSOR_LAG_PROCESSORLAG1_END
52010028 28000152 = FX_VIRUSCAST_SPLIT_PROCESSOR_LAG_PROCESSORLAG1_MIDDLE
53010028 28000153 = FX_VIRUSCAST_SPLIT_PROCESSOR_LAG_PROCESSORLAG1_START
54010028 28000154 = FX_VIRUSCAST_SPLIT_PROCESSOR_LAG_PROCESSORLAG1
55010028 28000155 = FX_VIRUSCAST_SPLIT_POTENCY_POTENCY_END
56010028 28000156 = FX_VIRUSCAST_SPLIT_POTENCY_POTENCY_MIDDLE
57010028 28000157 = FX_VIRUSCAST_SPLIT_POTENCY_POTENCY_START
58010028 28000158 = FX_VIRUSCAST_SPLIT_POTENCY_POTENCY
5a010028 2800015a = FX_VIRUSCAST_SPLIT_AREA_DISRUPTION_AREA_DISRUPTION1_MIDDLE
5b010028 2800015b = FX_VIRUSCAST_SPLIT_PLAGUE_ZONE_PLAGUEZONE1_END
5c010028 2800015c = FX_VIRUSCAST_SPLIT_PLAGUE_ZONE_PLAGUEZONE1_MIDDLE
5d010028 2800015d = FX_VIRUSCAST_SPLIT_PLAGUE_ZONE_PLAGUEZONE1_START
5e010028 2800015e = FX_VIRUSCAST_SPLIT_PLAGUE_ZONE_PLAGUEZONE1
5f010028 2800015f = FX_VIRUSCAST_SPLIT_PLAGUE_ZONE_PLAGUEZONE2_END
60010028 28000160 = FX_VIRUSCAST_SPLIT_PLAGUE_ZONE_PLAGUEZONE2_MIDDLE
61010028 28000161 = FX_VIRUSCAST_SPLIT_PLAGUE_ZONE_PLAGUEZONE2_START
62010028 28000162 = FX_VIRUSCAST_SPLIT_PLAGUE_ZONE_PLAGUEZONE2
f8070028 280007f8 = FX_VIRUSCAST_SPLIT_PERSONAL_FIREWALL_PERSONALFIREWALL1_END
68010028 28000168 = FX_VIRUSCAST_SPLIT_PERSONAL_FIREWALL_PERSONALFIREWALL1_MIDDLE
69010028 28000169 = FX_VIRUSCAST_SPLIT_PERSONAL_FIREWALL_PERSONALFIREWALL1_START
6b010028 2800016b = FX_VIRUSCAST_SPLIT_PERSONAL_FIREWALL_PERSONALFIREWALL1
6c010028 2800016c = FX_VIRUSCAST_SPLIT_PERSONAL_FIREWALL_PERSONALFIREWALL2
6d010028 2800016d = FX_VIRUSCAST_SPLIT_PERSONAL_FIREWALL_PERSONALFIREWALL2_END
6e010028 2800016e = FX_VIRUSCAST_SPLIT_PERSONAL_FIREWALL_PERSONALFIREWALL2_MIDDLE
6f010028 2800016f = FX_VIRUSCAST_SPLIT_PERSONAL_FIREWALL_PERSONALFIREWALL2_START
78010028 28000178 = FX_VIRUSCAST_SPLIT_OVERLOAD_OVERLOAD1_END
79010028 28000179 = FX_VIRUSCAST_SPLIT_OVERLOAD_OVERLOAD1_MIDDLE
7a010028 2800017a = FX_VIRUSCAST_SPLIT_OVERLOAD_OVERLOAD1_START
7b010028 2800017b = FX_VIRUSCAST_SPLIT_OVERLOAD_OVERLOAD1
7c010028 2800017c = FX_VIRUSCAST_SPLIT_OVERHEAT_OVERHEAT1_END
7d010028 2800017d = FX_VIRUSCAST_SPLIT_OVERHEAT_OVERHEAT1_MIDDLE
7e010028 2800017e = FX_VIRUSCAST_SPLIT_OVERHEAT_OVERHEAT1_START
7f010028 2800017f = FX_VIRUSCAST_SPLIT_OVERHEAT_OVERHEAT1
80010028 28000180 = FX_VIRUSCAST_SPLIT_OVERHEAT_OVERHEAT2
81010028 28000181 = FX_VIRUSCAST_SPLIT_OVERHEAT_OVERHEAT2_END
82010028 28000182 = FX_VIRUSCAST_SPLIT_OVERHEAT_OVERHEAT2_MIDDLE
83010028 28000183 = FX_VIRUSCAST_SPLIT_OVERHEAT_OVERHEAT2_START
84010028 28000184 = FX_VIRUSCAST_SPLIT_NETWORK_FIREWALL_NETWORKFIREWALL1_END
85010028 28000185 = FX_VIRUSCAST_SPLIT_NETWORK_FIREWALL_NETWORKFIREWALL1_MIDDLE
f9070028 280007f9 = FX_VIRUSCAST_SPLIT_NETWORK_FIREWALL_NETWORKFIREWALL1_START
88010028 28000188 = FX_VIRUSCAST_SPLIT_NETWORK_FIREWALL_NETWORKFIREWALL1
89010028 28000189 = FX_VIRUSCAST_SPLIT_NEGATIVE_CONDITION_SWEEP_NEGCONSWEEP1_END
8a010028 2800018a = FX_VIRUSCAST_SPLIT_NEGATIVE_CONDITION_SWEEP_NEGCONSWEEP1_MIDDLE
8b010028 2800018b = FX_VIRUSCAST_SPLIT_NEGATIVE_CONDITION_SWEEP_NEGCONSWEEP1_START
8c010028 2800018c = FX_VIRUSCAST_SPLIT_NEGATIVE_CONDITION_SWEEP_NEGCONSWEEP1
8d010028 2800018d = FX_VIRUSCAST_SPLIT_NEGATIVE_CONDITION_SWEEP_NEGCONSWEEP2
fa070028 280007fa = FX_VIRUSCAST_SPLIT_NEGATIVE_CONDITION_SWEEP_NEGCONSWEEP2_END
8f010028 2800018f = FX_VIRUSCAST_SPLIT_NEGATIVE_CONDITION_SWEEP_NEGCONSWEEP2_MIDDLE
90010028 28000190 = FX_VIRUSCAST_SPLIT_NEGATIVE_CONDITION_SWEEP_NEGCONSWEEP2_START
91010028 28000191 = FX_VIRUSCAST_SPLIT_MOVE_ACCELERATOR_MOVEACCELERATOR1_END
92010028 28000192 = FX_VIRUSCAST_SPLIT_MOVE_ACCELERATOR_MOVEACCELERATOR1_MIDDLE
93010028 28000193 = FX_VIRUSCAST_SPLIT_MOVE_ACCELERATOR_MOVEACCELERATOR1_START
94010028 28000194 = FX_VIRUSCAST_SPLIT_MOVE_ACCELERATOR_MOVEACCELERATOR1
95010028 28000195 = FX_VIRUSCAST_SPLIT_MOVE_ACCELERATOR_MOVEACCELERATOR2
96010028 28000196 = FX_VIRUSCAST_SPLIT_MOVE_ACCELERATOR_MOVEACCELERATOR2_END
97010028 28000197 = FX_VIRUSCAST_SPLIT_MOVE_ACCELERATOR_MOVEACCELERATOR2_MIDDLE
98010028 28000198 = FX_VIRUSCAST_SPLIT_MOVE_ACCELERATOR_MOVEACCELERATOR2_START
99010028 28000199 = FX_VIRUSCAST_SPLIT_MOVE_ACCELERATOR_MOVEACCELERATOR3
9a010028 2800019a = FX_VIRUSCAST_SPLIT_MOVE_ACCELERATOR_MOVEACCELERATOR3_END
9b010028 2800019b = FX_VIRUSCAST_SPLIT_MOVE_ACCELERATOR_MOVEACCELERATOR3_MIDDLE
9c010028 2800019c = FX_VIRUSCAST_SPLIT_MOVE_ACCELERATOR_MOVEACCELERATOR3_START
9d010028 2800019d = FX_VIRUSCAST_SPLIT_MIASMA_MIASMA1_END
9e010028 2800019e = FX_VIRUSCAST_SPLIT_MIASMA_MIASMA1_MIDDLE
9f010028 2800019f = FX_VIRUSCAST_SPLIT_MIASMA_MIASMA1_START
a0010028 280001a0 = FX_VIRUSCAST_SPLIT_MIASMA_MIASMA1
a1010028 280001a1 = FX_VIRUSCAST_SPLIT_MIASMA_MIASMA2
a2010028 280001a2 = FX_VIRUSCAST_SPLIT_MIASMA_MIASMA2_END
a3010028 280001a3 = FX_VIRUSCAST_SPLIT_MIASMA_MIASMA2_MIDDLE
a4010028 280001a4 = FX_VIRUSCAST_SPLIT_MIASMA_MIASMA2_START
a5010028 280001a5 = FX_VIRUSCAST_SPLIT_LOGIC_CANNON_LOGICCANNON1_END
a6010028 280001a6 = FX_VIRUSCAST_SPLIT_LOGIC_CANNON_LOGICCANNON1_MIDDLE
a7010028 280001a7 = FX_VIRUSCAST_SPLIT_LOGIC_CANNON_LOGICCANNON1_START
a8010028 280001a8 = FX_VIRUSCAST_SPLIT_LOGIC_CANNON_LOGICCANNON1
a9010028 280001a9 = FX_VIRUSCAST_SPLIT_LOGIC_CANNON_LOGICCANNON2
